file_name,label,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_index_finger_x,left_index_finger_y,right_index_finger_x,right_index_finger_y,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z
32.png,1,0.35446,0.20882,0.47641,0.25969,0.13288,0.27086,0.58924,0.34871,-0.00089,0.41886,0.8236,0.34735,0.17757,0.46647,0.89246,0.33488,0.26992,0.46156,0.38125,0.17865,-0.66747,0.39604,0.17664,-0.66759
33.png,1,0.65766,0.18752,0.50558,0.27981,0.23141,0.27355,100,100,-0.00669,0.43328,100,100,0.27187,0.47117,100,100,0.39168,0.46166,0.65248,0.16225,-0.27381,0.65009,0.16092,-0.27432
34.png,1,0.71471,0.18577,0.8219,0.27879,0.28858,0.27107,0.91544,0.43393,0.11532,0.43139,0.793,0.48275,0.27362,0.4757,0.70069,0.49684,0.34293,0.47845,0.72494,0.16296,-0.67097,0.73525,0.16173,-0.67135
35.png,1,0.47288,0.20232,0.77212,0.27123,0.23042,0.27948,0.905,0.42325,0.07959,0.42249,100,100,0.16975,0.46107,100,100,0.25854,0.45041,0.51257,0.17309,-0.93172,0.53454,0.17089,-0.93181
36.png,1,0.48436,0.17311,0.60742,0.24977,0.29167,0.27891,0.77049,0.33925,0.19828,0.41256,0.9588,0.39404,0.2662,0.45075,1.02382,0.39931,0.30639,0.4429,0.48986,0.14669,-0.54513,0.50021,0.14439,-0.54522
37.png,1,0.69976,0.18685,0.84536,0.28219,0.56323,0.27566,0.91619,0.42605,0.39904,0.36912,0.84962,0.46872,0.20538,0.42733,0.79636,0.4691,0.13888,0.43725,0.73108,0.16272,-0.29777,0.74424,0.16428,-0.29784
38.png,1,0.23611,0.22146,0.49723,0.28092,0.06595,0.29745,0.66749,0.41593,-0.02949,0.43384,0.97211,0.47752,0.13934,0.47783,1.06299,0.4844,0.22757,0.46936,0.2712,0.19364,-1.15917,0.29059,0.19074,-1.15919
39.png,1,0.47051,0.17648,0.59607,0.26291,0.26499,0.28155,0.78302,0.38168,0.1994,0.4311,0.99602,0.44287,0.34392,0.47228,1.06271,0.44327,0.4129,0.4676,0.47371,0.15128,-0.90963,0.48264,0.14935,-0.90983
4.png,1,0.45936,0.24321,0.7073,0.22002,0.26191,0.23522,0.85752,0.35862,0.06669,0.40907,0.8359,0.4579,0.24718,0.45383,0.78618,0.48112,0.3304,0.45275,0.48241,0.20244,-1.59894,0.50523,0.2002,-1.59891
40.png,1,0.82168,0.20047,0.87595,0.31152,0.57346,0.2909,0.93838,0.45995,0.39075,0.38873,0.70625,0.46442,0.19142,0.43971,100,100,0.10859,0.44923,0.82691,0.1767,-0.47838,0.83217,0.1769,-0.47851
41.png,1,0.74863,0.17777,0.88067,0.2644,0.5928,0.24246,0.92491,0.42445,0.41347,0.35954,0.71047,0.44104,0.18672,0.42261,0.64673,0.43773,0.10672,0.42564,0.78238,0.15634,-0.6259,0.79515,0.15832,-0.62611
42.png,1,0.90112,0.25208,0.88861,0.3552,0.46296,0.28843,0.81477,0.54495,0.27627,0.43297,0.52001,0.54583,0.18644,0.5613,0.42166,0.52127,0.17351,0.59965,0.91399,0.22105,-0.80466,0.9198,0.22068,-0.80478
43.png,1,0.94181,0.23669,0.87388,0.31965,0.44905,0.30218,100,100,0.38219,0.50944,100,100,0.74506,0.51047,100,100,0.8305,0.48441,0.94936,0.20892,-0.71833,0.94963,0.20802,-0.71846
44.png,1,0.64191,0.15692,0.81285,0.26788,0.46805,0.27029,0.81599,0.46625,0.47348,0.4693,100,100,0.70018,0.4711,100,100,0.78406,0.45344,0.66641,0.1254,-0.76387,0.68042,0.12456,-0.76379
45.png,1,0.55318,0.19394,0.81143,0.28207,0.48684,0.28487,0.77246,0.45827,0.50049,0.46311,0.53272,0.46515,0.71971,0.46339,0.47525,0.43271,0.80759,0.44036,0.58077,0.17167,-0.80166,0.59659,0.17298,-0.80153
46.png,1,0.19982,0.16671,0.74643,0.2417,0.22813,0.26247,0.83997,0.41527,0.15732,0.4159,0.89154,0.43618,0.19948,0.4408,0.8634,0.4567,0.24877,0.43782,0.2125,0.14267,-0.56265,0.22806,0.1402,-0.56254
47.png,1,0.76557,0.12954,0.70366,0.23981,0.2823,0.21953,0.78587,0.37737,0.19991,0.41193,0.889,0.45126,0.23424,0.45195,0.9235,0.46252,0.27919,0.44387,0.77016,0.10613,-0.34111,0.76935,0.10548,-0.34152
48.png,1,0.1985,0.16569,0.76131,0.26391,0.21322,0.2846,0.873,0.43906,0.13532,0.43953,0.91686,0.44355,0.18826,0.47087,0.88083,0.46995,0.25339,0.46864,0.22494,0.1411,-0.60696,0.23992,0.13923,-0.6067
49.png,1,0.69293,0.16404,0.68154,0.27886,0.33851,0.2649,0.76865,0.42096,0.2377,0.43507,0.89363,0.47085,0.52025,0.44786,0.93933,0.47539,0.61029,0.44108,0.68584,0.1406,-0.19789,0.68453,0.1398,-0.19814
5.png,1,0.50269,0.20228,0.69766,0.23599,0.29462,0.22823,0.87092,0.40195,0.16577,0.38762,0.79327,0.32793,0.2374,0.437,100,100,0.27857,0.44038,0.5402,0.17066,-1.60035,0.56442,0.16736,-1.60026
50.png,1,0.66284,0.16606,0.62085,0.26912,0.30232,0.26006,0.7269,0.39871,0.17473,0.42767,0.87984,0.43618,0.48631,0.43587,0.93868,0.44744,0.57777,0.42499,0.65795,0.14565,-0.24287,0.65654,0.14507,-0.24317
51.png,1,0.81044,0.21017,0.83796,0.27819,0.47596,0.28277,0.80627,0.43755,0.37628,0.41859,0.63109,0.45395,0.45602,0.46971,0.55326,0.44555,0.50124,0.46353,0.80254,0.1816,-0.5465,0.80492,0.1782,-0.54654
52.png,1,0.53446,0.19624,0.91112,0.27555,0.32442,0.27367,0.88401,0.44709,0.15943,0.42107,0.57621,0.46464,0.28701,0.46959,0.44639,0.45639,0.36463,0.46081,0.60283,0.17223,-1.39882,0.63688,0.17529,-1.39844
53.png,1,0.70666,0.177,0.95158,0.2262,0.3829,0.23487,1.10338,0.41001,0.29464,0.3999,0.94126,0.4372,0.30971,0.42856,0.84073,0.46515,0.3552,0.42094,0.74559,0.1419,-1.34048,0.76993,0.1393,-1.3406
54.png,1,0.38757,0.16878,0.80074,0.28528,0.21411,0.27944,0.90069,0.44542,0.11442,0.4399,0.8975,0.47982,0.17315,0.47926,0.83411,0.49003,0.24634,0.48079,0.44034,0.14266,-0.38752,0.46968,0.14251,-0.38741
55.png,1,0.65225,0.15526,0.8123,0.2718,0.23474,0.27025,0.91201,0.4267,0.1409,0.44314,0.90151,0.46157,0.1495,0.46898,0.84276,0.48125,0.21858,0.46159,0.65998,0.13092,-0.92015,0.67305,0.1304,-0.92048
56.png,1,0.77682,0.16734,0.77643,0.2657,0.25901,0.25837,0.88872,0.4206,0.15847,0.42368,0.9022,0.47257,0.15629,0.4508,0.88589,0.46598,0.21727,0.44569,0.77441,0.14371,-0.46263,0.77414,0.14334,-0.46292
57.png,1,0.72758,0.14212,0.81702,0.2573,0.2128,0.25268,0.90615,0.41972,0.10868,0.41669,0.87755,0.44665,0.13031,0.44116,0.78841,0.4603,0.20407,0.43845,0.72732,0.11671,-0.79671,0.73457,0.11646,-0.79713
58.png,1,0.23642,0.15177,0.73821,0.26268,0.16973,0.2648,0.88482,0.43383,0.11926,0.42986,0.91348,0.45903,0.19751,0.46355,0.84541,0.47387,0.28846,0.46937,0.28677,0.12566,-0.77868,0.31611,0.12502,-0.77867
59.png,1,0.77237,0.19443,0.75189,0.29024,0.38626,0.27456,0.82274,0.43666,0.27799,0.43342,0.80985,0.44654,0.29884,0.45304,0.77777,0.43849,0.35167,0.44951,0.77158,0.16713,-0.33225,0.77167,0.16605,-0.33256
6.png,1,0.48994,0.21447,0.70844,0.24092,0.25694,0.23956,0.9012,0.42206,0.09707,0.41366,0.73228,0.2561,0.3181,0.45656,0.63124,0.2081,0.41318,0.45203,0.52362,0.19215,-1.00203,0.54281,0.1915,-1.00178
60.png,1,0.19431,0.21749,0.62652,0.25218,0.21238,0.27345,0.77055,0.39558,0.19604,0.41234,0.85532,0.4446,0.25077,0.45262,0.84846,0.46417,0.28953,0.45419,0.21788,0.19102,-0.41912,0.2325,0.18991,-0.41923
61.png,1,0.18599,0.20822,0.64227,0.24588,0.19372,0.26142,0.78409,0.38828,0.22122,0.40053,0.86984,0.46508,0.27999,0.4559,0.88004,0.4807,0.32845,0.46014,0.20111,0.18099,-0.89528,0.21633,0.17973,-0.89542
64.png,1,0.06817,0.25995,0.46759,0.27893,0.15129,0.32878,0.64743,0.41595,0.22274,0.47158,0.86355,0.49193,0.31557,0.49317,0.91622,0.50678,0.35532,0.48519,0.0732,0.2279,-0.66103,0.08181,0.22553,-0.66118
7.png,1,0.49268,0.1942,0.68438,0.20222,0.31551,0.22272,0.82701,0.33208,0.12177,0.39123,0.67287,0.23611,0.34885,0.43331,0.58022,0.19275,0.4425,0.43793,0.5195,0.17487,-1.05127,0.54231,0.17558,-1.05101
8.png,1,0.5614,0.24656,0.68884,0.22462,0.22916,0.21565,0.85805,0.336,0.08407,0.37102,0.82935,0.42415,0.19092,0.4179,0.77003,0.4459,0.25554,0.42675,0.60423,0.22585,-1.20623,0.61874,0.22545,-1.20629
9.png,1,0.50633,0.19683,0.80408,0.26336,0.27977,0.25759,0.89787,0.39205,0.19989,0.39963,0.94615,0.46581,0.17413,0.46333,0.9211,0.48597,0.15183,0.45987,0.54859,0.1718,-2.13415,0.57544,0.16954,-2.13444
Screenshot_2023-04-29-21-59-50-652_com.facebook.orca.jpg,1,0.64765,0.1406,0.71992,0.27417,0.20557,0.26837,0.86279,0.43659,0.10502,0.44665,0.9788,0.4723,0.49624,0.46072,0.99156,0.47475,0.6239,0.44907,0.63366,0.11721,-0.45996,0.63793,0.11688,-0.46039
Screenshot_2023-04-29-22-00-19-804_com.facebook.orca.png,1,0.59529,0.17378,0.54201,0.27372,0.19429,0.24912,0.61787,0.41024,0.1003,0.42771,0.73326,0.47576,0.19082,0.47478,0.77863,0.49361,0.23959,0.47019,0.59351,0.14933,-0.19501,0.59041,0.14819,-0.19543
Screenshot_2023-04-29-22-00-22-126_com.facebook.orca.png,1,0.60266,0.18382,0.55706,0.28334,0.1872,0.26444,0.61302,0.42545,0.09548,0.4435,0.72988,0.47302,0.19044,0.47605,0.76949,0.49145,0.24297,0.46865,0.59986,0.15944,-0.18191,0.59761,0.15864,-0.18235
Screenshot_2023-04-29-22-00-37-296_com.facebook.orca.png,1,0.64887,0.18591,0.5973,0.29033,0.2226,0.26893,0.65312,0.4245,0.112,0.43576,0.75343,0.48803,0.14152,0.4724,0.79443,0.48511,0.19232,0.47225,0.64753,0.16298,-0.19753,0.64582,0.16184,-0.19791
Screenshot_2023-04-29-22-00-40-136_com.facebook.orca.png,1,0.70874,0.20508,0.59978,0.28744,0.26283,0.25012,0.66624,0.40911,0.13443,0.41204,0.7571,0.46797,0.11312,0.46425,0.76686,0.48554,0.15341,0.47303,0.71825,0.18162,-0.14263,0.71611,0.18044,-0.14307
Screenshot_2023-04-29-22-02-21-380_com.facebook.orca.png,1,0.90231,0.19583,0.82845,0.30892,0.32054,0.25644,0.67677,0.48811,0.23326,0.46206,0.3168,0.4718,0.6223,0.48971,0.20283,0.46133,0.73624,0.47225,0.90296,0.16886,-1.19516,0.90524,0.16794,-1.19547
Screenshot_2023-04-29-22-05-32-973_com.facebook.orca.png,1,0.46489,0.17946,0.77577,0.25992,0.23806,0.26502,0.89469,0.44941,0.10311,0.42007,0.66523,0.49458,0.16056,0.45845,100,100,0.23607,0.44856,0.50654,0.14827,-0.61254,0.53023,0.14548,-0.61272
Screenshot_2023-04-29-22-05-37-248_com.facebook.orca.png,1,0.49424,0.18384,0.77486,0.25488,0.23773,0.26736,0.90132,0.43025,0.08772,0.41847,0.85601,0.51312,0.13733,0.45941,0.80666,0.53854,0.19896,0.45205,0.52678,0.15226,-1.5518,0.54673,0.14981,-1.5517
Screenshot_2023-04-29-22-05-46-319_com.facebook.orca.jpg,1,0.69471,0.20131,0.83874,0.28472,0.28218,0.2754,0.94029,0.42591,0.10798,0.41874,0.82173,0.47444,0.15173,0.48168,0.71745,0.48936,0.18147,0.4968,0.7208,0.17637,-0.9308,0.73608,0.17476,-0.93122
Screenshot_2023-04-29-22-05-47-768_com.facebook.orca.png,1,0.82551,0.15731,0.93133,0.25565,0.40922,0.2461,1.08432,0.40647,0.23844,0.42505,0.93204,0.47301,0.43889,0.47867,0.84207,0.48823,0.53078,0.48782,0.83318,0.13244,-1.10447,0.84274,0.13173,-1.10464
Screenshot_2023-04-29-22-05-51-839_com.facebook.orca.jpg,1,0.68012,0.16845,0.78449,0.27681,0.2978,0.27069,0.87669,0.47196,0.13099,0.44583,0.7615,0.37028,0.16142,0.53852,0.75511,0.3073,100,100,0.6864,0.14282,-0.90871,0.69623,0.14195,-0.909
Screenshot_2023-04-29-22-05-57-078_com.facebook.orca.png,1,0.64307,0.17184,0.48231,0.25282,0.22631,0.24262,100,100,0.02338,0.39764,0.81498,0.33413,0.2841,0.43318,0.90199,0.31866,0.3709,0.43048,0.63722,0.14676,-0.22692,0.63423,0.14535,-0.22753
Screenshot_2023-04-29-22-05-59-454_com.facebook.orca.png,1,0.64513,0.16723,0.49762,0.2585,0.22428,0.2419,100,100,0.01035,0.39872,100,100,0.28309,0.43297,100,100,0.39386,0.42554,0.63419,0.14104,-0.22488,0.63144,0.13994,-0.22549
Screenshot_2023-04-29-22-06-09-071_com.facebook.orca.png,1,0.40898,0.19467,0.53101,0.2543,0.13187,0.25771,0.63982,0.33739,-0.019,0.4053,0.91238,0.3303,0.20809,0.44951,0.9923,0.32307,0.30364,0.44437,0.43462,0.16814,-0.63839,0.44984,0.16584,-0.63865
Screenshot_2023-04-29-22-06-10-659_com.facebook.orca.png,1,0.4023,0.20339,0.52911,0.25224,0.12969,0.26274,0.6268,0.33798,-0.01958,0.39234,0.88018,0.3404,0.11963,0.44237,0.96073,0.33118,0.21237,0.44621,0.42434,0.17912,-1.05409,0.4391,0.17657,-1.05435
Screenshot_2023-04-29-22-06-23-432_com.facebook.orca.png,1,0.50201,0.15965,0.95881,0.22676,0.52083,0.22895,1.07083,0.39995,0.40199,0.3203,0.78829,0.46143,0.13337,0.29854,0.6746,0.48252,0.04922,0.28018,0.52048,0.13382,-0.12539,0.53182,0.13252,-0.1255
Screenshot_2023-04-29-22-06-26-173_com.facebook.orca.png,1,0.50108,0.16298,0.95935,0.22445,0.52072,0.2191,1.04225,0.39666,0.39857,0.311,0.7784,0.4577,0.11563,0.28972,0.67248,0.47601,0.02662,0.27127,0.51843,0.13603,-0.07303,0.52901,0.13463,-0.07323
Screenshot_2023-04-29-22-06-50-513_com.facebook.orca.png,1,0.8556,0.16148,0.97195,0.2548,0.46741,0.25081,1.05613,0.41317,0.29891,0.33628,0.8168,0.47441,-0.01287,0.33957,0.69406,0.49247,-0.13802,0.33662,0.86742,0.13675,-0.68538,0.87952,0.13632,-0.68615
Screenshot_2023-04-29-22-08-02-933_com.facebook.orca.png,1,0.64976,0.49195,0.93995,0.57064,0.34306,0.49302,0.96869,0.89056,0.16052,0.84495,100,100,0.01037,1.06585,100,100,-0.13183,1.22448,0.70233,0.4316,-2.78546,0.73009,0.42909,-2.78569
Screenshot_2023-04-29-22-08-25-567_com.google.android.apps.tachyon.png,1,0.63911,0.11067,0.8951,0.24897,0.29104,0.24946,0.96648,0.43387,0.18339,0.41898,100,100,0.20575,0.45836,100,100,0.26592,0.45774,0.67746,0.08514,-1.25357,0.69954,0.08596,-1.25398
Screenshot_2023-04-29-22-09-08-889_com.facebook.orca.jpg,1,0.17561,0.1688,0.702,0.21635,0.20464,0.2871,0.92494,0.32525,0.17713,0.42771,0.94917,0.4155,100,100,0.91756,0.44116,100,100,0.19203,0.14329,-0.38248,0.21707,0.13806,-0.38246
Screenshot_2023-04-29-22-10-51-589_com.facebook.orca.png,1,0.17617,0.21421,0.59649,0.29466,0.10956,0.30259,0.71819,0.42403,0.07228,0.44764,0.8297,0.45188,0.24771,0.32099,0.87637,0.47641,0.30731,0.27854,0.21322,0.19055,-0.83479,0.23912,0.18921,-0.835
Screenshot_2023-04-29-22-10-56-509_com.facebook.orca.png,1,0.13877,0.19497,0.61463,0.26181,0.10739,0.28124,0.72052,0.41032,0.12741,0.44392,0.82977,0.44156,0.27265,0.29248,0.90021,0.46803,0.34048,0.24299,0.17128,0.1677,-0.96482,0.19283,0.16504,-0.96511
Screenshot_2023-04-29-22-11-08-592_com.facebook.orca.png,1,0.69263,0.1508,0.6826,0.25522,0.21892,0.25278,0.78073,0.38064,0.1117,0.40722,0.87528,0.42963,0.14807,0.4413,0.90301,0.45455,0.19332,0.43706,0.67841,0.12785,-0.30613,0.67475,0.12723,-0.30661
Screenshot_2023-04-29-22-11-10-674_com.facebook.orca.png,1,0.78297,0.15748,0.75575,0.26263,0.21908,0.25842,0.86515,0.39385,0.09379,0.40067,100,100,0.0744,0.43445,100,100,0.13405,0.4344,0.76757,0.13569,-0.37228,0.76415,0.13525,-0.37274
Screenshot_2023-04-29-22-12-04-101_com.facebook.orca.png,1,0.49466,0.1464,0.71308,0.2619,0.15866,0.28443,0.83846,0.40241,0.0864,0.42819,0.9786,0.47391,0.1551,0.45404,1.02136,0.49734,0.23075,0.44796,0.48451,0.12621,-1.14609,0.49466,0.1261,-1.14649
Screenshot_2023-04-29-22-12-43-785_com.facebook.orca.png,1,0.40666,0.1882,0.80963,0.26497,0.30844,0.26255,0.96215,0.42538,0.12268,0.40819,0.89245,0.26634,0.27324,0.43994,0.83374,0.22057,0.34386,0.4273,0.44953,0.16732,-0.8833,0.47494,0.1681,-0.88323
Screenshot_2023-04-29-22-12-45-523_com.facebook.orca.png,1,0.4095,0.18593,0.80376,0.27002,0.28082,0.26061,0.95836,0.42148,0.09719,0.40353,0.87556,0.26317,0.26485,0.44053,0.8325,0.221,0.33892,0.42507,0.45686,0.16657,-0.83746,0.48376,0.1671,-0.83752
Screenshot_2023-04-29-22-12-51-223_com.facebook.orca.jpg,1,0.37818,0.18865,0.79355,0.26813,0.26974,0.26893,0.94267,0.42323,0.10849,0.40594,0.86574,0.27288,0.16368,0.43439,0.79959,0.22835,0.23621,0.42784,0.41962,0.16897,-1.13257,0.44397,0.16946,-1.13258
Screenshot_2023-04-29-22-15-05-762_com.facebook.orca.jpg,1,0.95117,0.20012,0.86111,0.26704,0.50831,0.27188,0.90134,0.3962,0.43027,0.42303,0.93829,0.44211,100,100,0.94044,0.43869,100,100,0.94287,0.17515,-0.50792,0.94232,0.17384,-0.50856
Screenshot_2023-04-29-22-16-16-388_com.facebook.orca.jpg,1,0.47848,0.16038,0.71414,0.26739,0.20234,0.27795,0.84554,0.44263,0.13707,0.4329,0.87344,0.46157,0.27821,0.4615,0.88213,0.44039,0.37419,0.45863,0.5007,0.13427,-0.89875,0.51682,0.1331,-0.89882
Screenshot_2023-04-29-22-16-32-372_com.facebook.orca.jpg,1,0.51761,0.19718,0.75702,0.27357,0.24135,0.25598,0.92383,0.43611,0.11689,0.41045,0.84229,0.26833,0.29542,0.45587,0.77129,0.22136,0.37935,0.4498,0.56808,0.17242,-1.19036,0.59058,0.17153,-1.19037
Screenshot_2023-04-29-22-17-04-446_com.facebook.orca.jpg,1,0.95938,0.16998,0.8785,0.27118,0.45112,0.2252,0.9677,0.41008,0.22675,0.35868,0.71266,0.27735,0.32335,0.43047,0.6654,0.22969,0.38846,0.44119,0.95157,0.1437,-0.3092,0.95065,0.14223,-0.30952
Screenshot_2023-04-29-22-22-33-665_com.facebook.orca.jpg,1,0.54609,0.21257,0.75238,0.27759,0.24242,0.2824,0.87082,0.39122,0.16047,0.40637,0.91489,0.45117,0.15337,0.46963,0.88954,0.45928,0.14316,0.47051,0.56817,0.18801,-1.85035,0.58611,0.18554,-1.85059
Screenshot_2023-04-29-22-24-20-447_com.facebook.orca.jpg,1,0.37472,0.2207,0.69399,0.20612,0.20636,0.22391,0.8654,0.33452,0.06205,0.34854,0.84949,0.38159,0.22291,0.38575,0.78923,0.40442,0.28666,0.38463,0.40862,0.19064,-1.23798,0.43412,0.18503,-1.238
Screenshot_2023-04-29-22-24-35-677_com.facebook.orca.jpg,1,0.4403,0.22772,0.68651,0.20791,0.24599,0.22362,0.83603,0.31442,0.0542,0.36466,0.82502,0.40525,0.25949,0.3975,0.7693,0.42404,0.36518,0.39872,0.47691,0.20606,-4.01776,0.49864,0.20353,-4.01752
Screenshot_2023-04-29-22-24-59-125_com.facebook.orca.jpg,1,0.53211,0.22386,0.70018,0.25159,0.27192,0.23401,0.87628,0.38012,0.15608,0.35458,0.75729,0.25864,0.16706,0.4101,0.67664,0.21025,0.21511,0.42539,0.57184,0.18825,-1.51423,0.59052,0.18566,-1.51409
Screenshot_2023-04-29-22-25-43-923_com.facebook.orca.jpg,1,0.47625,0.20781,0.65867,0.22979,0.2738,0.23126,0.76779,0.33102,0.13248,0.37681,0.66773,0.24283,0.26632,0.41038,0.59883,0.20347,0.33269,0.41877,0.51971,0.18869,-0.6618,0.53894,0.1878,-0.66194
Screenshot_2023-04-29-22-27-12-027_com.facebook.orca.jpg,1,0.6817,0.15573,0.78295,0.26411,0.28536,0.25761,0.9214,0.41178,0.1856,0.40937,0.84481,0.44706,0.32369,0.44925,0.74868,0.45515,0.41777,0.4467,0.68743,0.13142,-0.92649,0.69649,0.1312,-0.92664
24.png,0,0.62163,0.15672,0.73786,0.24999,0.2356,0.25971,0.90682,0.38651,0.07083,0.39348,0.95229,0.42666,0.05287,0.42544,0.89093,0.45585,0.12559,0.44951,0.61903,0.12899,-0.43215,0.62806,0.12726,-0.43224
25.png,0,0.47645,0.23837,0.68854,0.20917,0.25835,0.22512,0.89382,0.3795,0.12968,0.40811,0.72476,0.20568,0.30173,0.20652,0.68664,0.13204,0.33528,0.13917,0.51055,0.22684,-1.79702,0.53524,0.22413,-1.79671
